263.25, 0.50, 1.75, 0.01, 0.76, -1.92, -0.39, -0.80, -26.99, 1623970625176.00, -0.04, -0.01, -255.00
262.56, 1.06, 1.81, 0.15, 0.25, 0.64, -1.03, -3.14, -24.85, 1623970625193.00, -0.02, -0.02, 0.00
263.69, 1.25, 1.56, -0.12, 0.06, 1.02, -0.97, -0.33, -25.51, 1623970625208.00, -0.01, 0.00, 0.00
264.25, 0.88, 1.69, 0.15, -0.58, 1.08, -0.92, -0.16, -26.22, 1623970625223.00, 0.03, -0.01, 0.00
265.69, 0.75, 1.75, 0.01, -0.05, 1.33, -1.24, 2.03, -24.75, 1623970625243.00, 0.00, -0.01, 0.00
267.25, 1.00, 1.88, 0.22, 0.40, 1.43, -1.15, -0.82, -25.96, 1623970625258.00, -0.03, -0.02, 0.00
268.00, 1.12, 1.75, -0.27, 0.32, 1.39, -0.69, -0.30, -24.37, 1623970625273.00, -0.02, 0.01, 0.00
269.75, 1.50, 1.75, 0.21, 0.21, 1.77, 0.14, -0.03, -25.13, 1623970625292.00, -0.02, -0.02, 0.00
272.00, 1.38, 1.94, 0.14, 0.06, 2.29, 0.74, -0.23, -22.08, 1623970625307.00, -0.01, -0.02, 0.00
273.06, 1.31, 2.06, 0.18, -0.08, 1.92, 0.00, -2.62, -7.80, 1623970625322.00, 0.00, -0.02, 0.00
274.06, 1.44, 1.94, -0.09, 0.05, 0.60, 1.17, -2.40, -2.40, 1623970625342.00, -0.01, -0.00, 0.00
273.75, 1.12, 1.88, -0.07, -0.35, -0.46, 1.85, -1.93, -5.62, 1623970625357.00, 0.02, -0.00, -255.00
273.25, 1.12, 1.88, 0.06, -0.02, -0.90, -1.17, -0.18, -23.05, 1623970625372.00, -0.00, -0.01, -255.00
272.00, 1.56, 1.88, 0.03, 0.33, -1.14, -1.58, -0.65, -25.47, 1623970625392.00, -0.03, -0.01, -255.00
271.25, 1.31, 2.50, 0.57, -0.25, -0.69, 0.38, 0.86, -24.32, 1623970625407.00, 0.01, -0.04, -255.00
270.94, 1.19, 2.44, -0.00, -0.29, -0.53, -0.87, -0.73, -25.48, 1623970625422.00, 0.01, -0.01, -255.00
270.81, 1.44, 2.44, 0.16, 0.46, 0.16, 0.88, -0.45, -23.44, 1623970625442.00, -0.04, -0.02, 0.00
271.50, 1.38, 2.56, 0.00, -0.05, 0.78, -0.90, -0.93, -23.42, 1623970625457.00, -0.00, -0.01, 0.00
272.25, 1.31, 2.56, -0.04, -0.04, 1.41, 0.13, -1.49, -15.15, 1623970625472.00, -0.00, -0.01, 0.00
273.44, 1.25, 2.50, -0.08, 0.11, 1.00, 1.79, -0.16, -13.56, 1623970625492.00, -0.01, -0.00, 0.00
274.00, 1.25, 2.44, -0.25, 0.22, 0.20, 3.13, -0.71, -15.84, 1623970625507.00, -0.02, 0.01, 0.00
274.00, 1.19, 2.44, -0.01, -0.12, 0.00, -0.71, -0.43, -21.26, 1623970625522.00, 0.00, -0.01, 0.00
273.75, 1.38, 2.31, -0.09, -0.02, -0.28, -0.44, -0.07, -22.83, 1623970625542.00, -0.00, -0.00, -255.00
273.75, 1.44, 2.38, 0.10, 0.36, 0.21, 0.00, -0.03, -23.41, 1623970625556.00, -0.03, -0.02, 0.00
273.88, 1.62, 2.38, -0.08, 0.29, 0.27, -0.39, -0.42, -22.56, 1623970625571.00, -0.03, -0.00, 0.00
274.06, 1.62, 1.94, -0.47, 0.11, 0.09, -0.10, -0.24, -22.31, 1623970625592.00, -0.02, 0.03, 0.00
274.19, 1.62, 1.31, -0.80, -0.07, 0.18, -0.23, -0.31, -22.29, 1623970625606.00, -0.00, 0.05, 0.00
274.38, 1.50, 0.94, -0.65, -0.12, 0.23, -0.25, -0.55, -21.41, 1623970625621.00, 0.00, 0.04, 0.00
